Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
What is the molecular formula of butane?,C₄H₁₀,C₆H₁₄,C₈H₁₈,C₃H₈,A,Chemistry,Organic Chemistry,2020
The standard electrode potential of zinc is:,-0.76 V,-0.34 V,0.34 V,0.76 V,A,Chemistry,Electrochemistry,2020
Which of the following is a strong acid?,Hydrochloric acid,Acetic acid,Formic acid,Citric acid,A,Chemistry,Acids and Bases,2020
Which of the following compounds will not give a positive test with Fehling’s solution?,Glucose,Fructose,Sucrose,Maltose,C,Chemistry,Organic Chemistry,2020
The formula of potassium dichromate is:,K₂Cr₂O₇,KCrO₄,Cr₂O₃,K₂O,A,Chemistry,Inorganic Chemistry,2020
The rate constant of a first-order reaction is 0.02 s⁻¹. The time required for the concentration of reactant to decrease from 0.5 M to 0.1 M is:,69.3 seconds,34.6 seconds,104.6 seconds,23.4 seconds,A,Chemistry,Chemical Kinetics,2020
The molar mass of a compound is calculated as the sum of:,Atomic masses of its constituent atoms,Number of atoms in a molecule,Molecular weight,Volume of the compound,A,Chemistry,Atomic Structure,2020
"If 75% of a first-order reaction is completed in 90 minutes, the time required for 60% completion is approximately:",60 minutes,80 minutes,100 minutes,120 minutes,A,Chemistry,Chemical Kinetics,2020
Which one of the following is not a characteristic of an acid?,Has a bitter taste,Can turn blue litmus paper red,Reacts with bases,Releases H⁺ ions in solution,A,Chemistry,Acids and Bases,2020
The mass of ammonia produced when 2.8 kg of dinitrogen reacts with 1 kg of dihydrogen is:,3400 g,4000 g,2800 g,3000 g,A,Chemistry,Stoichiometry,2020
What is the value of Kb for aniline (C₆H₅NH₂)?,4.3 × 10⁻⁴,1.3 × 10⁻⁶,2.3 × 10⁻⁸,5.2 × 10⁻¹⁰,A,Chemistry,Acids and Bases,2020
Which of the following gases is most likely to undergo a reaction to form a molecule with a strong bond?,Oxygen,Carbon dioxide,Methane,Nitrogen,D,Chemistry,Gaseous State,2020
The freezing point depression for a solution of molality 0.078 m containing a non-electrolyte solute in benzene (Kf = 5.12 K kg mol⁻¹) is:,0.40 K,0.60 K,0.20 K,0.80 K,A,Chemistry,Colligative Properties,2020
Which of the following has the highest boiling point?,H₂O,H₂S,H₂Se,H₂Te,A,Chemistry,Solutions,2020
Which of the following statements is incorrect?,Water is an universal solvent.,Alkali metals react with water to form alkaline hydroxides.,Oxygen is necessary for combustion.,Nitrogen is a reactive gas.,D,Chemistry,General Chemistry,2020
