Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
A galvanometer of resistance 10Ω is converted into an ammeter by placing a shunt resistance of 5Ω in parallel. The total resistance of the ammeter is:,5Ω,10Ω,15Ω,20Ω,A,Physics,Current Electricity,2023
Which of the following is responsible for the bending of light when it passes through a prism?,Reflection,Refraction,Diffraction,Dispersion,B,Physics,Optics,2023
A body is acted upon by two forces 10N and 15N. The resultant force is:,5N,10N,20N,25N,D,Physics,Newton's Laws of Motion,2023
Which of the following does not depend on the velocity of the object?,Kinetic energy,Momentum,Gravitational potential energy,Magnetic field,C,Physics,"Work, Power and Energy",2023
A circuit consisting of a 2Ω resistor and a 4Ω resistor in series is connected to a 12V battery. The current flowing through the circuit is:,2A,3A,4A,6A,B,Physics,Current Electricity,2023
"In a resonance tube experiment, the frequency of tuning fork is 256 Hz. The length of the tube is 1 m. The velocity of sound in air is:",320 m/s,340 m/s,360 m/s,380 m/s,B,Physics,Waves,2023
The half-life of a radioactive substance is 10 years. The time taken for its activity to reduce to 1/16th of its initial value is:,20 years,30 years,40 years,50 years,C,Physics,Nuclear Physics,2023
"In a moving coil galvanometer, the magnetic field is produced by:",Permanent magnet,Electromagnet,Coil itself,Battery,B,Physics,Magnetic Effects of Current,2023
The angle of deviation produced by a prism is:,Always 90°,Always 60°,Always 180°,Depends on the angle of incidence,D,Physics,Optics,2023
Which of the following is an example of a non-conservative force?,Gravitational force,Frictional force,Electromagnetic force,Spring force,B,Physics,"Work, Power and Energy",2023
